fit_score,fund(s),company,role_title,seniority,years_req,remote_scope,posted_date,comp_range,domain_note,ats_link
4,"Battery, Felicis, Kleiner Perkins",Modern Health,Strategic Finance and Pricing Lead,"mid, senior",5+,Remote (US),2026-06-30,"$121,840–$179,200",healthcare / health-tech (non-payer),https://job-boards.greenhouse.io/modernhealth/jobs/8611130002
4,Oak HC/FT,Ambience Healthcare,Strategic Finance Lead,—,6-10,Remote (US),2026-06-23,,healthcare / health-tech (non-payer),https://jobs.ashbyhq.com/ambiencehealthcare/77428e13-eb22-4548-8bf9-16b503062973
3,"Founders Fund, General Catalyst",Stripe,"Finance & Strategy Partner, Central Engineering",—,7-9,Remote (US),2026-06-26,,fintech / payments / insurtech (adjacent domain),https://stripe.com/jobs/search?gh_jid=7979885
3,Battery,Array,FP&A Analyst,mid,4+,Remote (US),2026-05-22,"$120,000–$120,000",fintech / payments / insurtech (adjacent domain),https://boards.greenhouse.io/array/jobs/6003611004?gh_jid=6003611004
3,"Sequoia, a16z",Mercury,Strategic Finance - GTM,unspecified,3-5,Remote (US),2026-05-18,"$142,900–$160,700",fintech / payments / insurtech (adjacent domain),https://job-boards.greenhouse.io/mercury/jobs/5998488004
3,"Sequoia, a16z",Mercury,Strategic Finance - R&D/G&A,mid,3-5,Remote (US),2026-05-18,"$142,900–$160,700",fintech / payments / insurtech (adjacent domain),https://job-boards.greenhouse.io/mercury/jobs/5997883004
3,"GV, Sequoia",Ethos Life,Corporate Finance Manager,manager,6+,Remote (US),2026-05-04,"$109,000–$192,000",fintech / payments / insurtech (adjacent domain),https://job-boards.greenhouse.io/ethoslife/jobs/8533759002
2,a16z,Mixpanel,Senior Strategic Finance Associate,senior,5-8,Remote (US),2026-05-28,"$160,500–$217,500",vertical/horizontal SaaS — no domain overlap,https://job-boards.greenhouse.io/mixpanel/jobs/7963797?gh_src=6994f9f01us
2,Battery,Bitwarden,"Manager, FP&A",manager,5+,Remote (US),2026-05-20,"$120,000–$160,000",vertical/horizontal SaaS — no domain overlap,https://bitwarden.com/careers/7742185003/?gh_jid=7742185003
2,GV,Roboflow,FP&A,unspecified,5+,Remote (US),2026-05-12,"$150,000–$190,000",vertical/horizontal SaaS — no domain overlap,https://jobs.ashbyhq.com/roboflow/e4a4c85b-9e4b-473c-abbd-4a023ca38e89?utm_source=jobs.gv.com
1,Bessemer,onXmaps,Senior Financial Analyst – Strategic Finance & Special Projects,senior,n/s,Remote (US),2026-06-23,"$115,000–$140,000",no domain overlap,https://job-boards.greenhouse.io/onxmaps/jobs/4689884006
1,Bessemer,Shippo,"Finance Manager, Strategic Finance (FP&A)",manager,5+,Remote (US),2026-06-22,,no domain overlap,https://ats.rippling.com/shippo/jobs/a92d1441-05a5-4ecc-860e-f0a28ed8d1c3
1,Lightspeed,Roofstock,Strategic Finance Manager,manager,5+,Remote (US),2026-06-18,"$110,000–$130,000",no domain overlap,https://job-boards.greenhouse.io/roofstock/jobs/8599136002
1,Bessemer,brightwheel,Go-to-Market Finance & Strategy Senior Manager,manager,8+,Remote (US),2026-05-18,"$158,000–$209,000",no domain overlap,https://jobs.ashbyhq.com/brightwheel/730ccead-bcee-4fe6-8749-9ff3015015eb?utm_source=jobs.bvp.com
1,"Kleiner Perkins, a16z",Flock Safety,"Strategic Finance Manager, capex",manager,3-6,Remote (US),2026-05-11,"$119,000–$140,000",no domain overlap,https://jobs.ashbyhq.com/Flock%20Safety/c0ce741d-8d5c-4002-8691-1cbddcb1a34d?utm_source=jobs.kleinerperkins.com
